Time,Ry,Ay,Vy,Y
0,666.4,-1.67187E-15,0,0
0.001,665.990234,-0.006025971,-6.02597E-06,-6.02597E-09
0.002,664.75177,-0.024238676,-3.02646E-05,-3.62906E-08
0.003,663.540985,-0.042044338,-7.2309E-05,-1.086E-07
0.004,662.355041,-0.059484691,-0.000131794,-2.40393E-07
0.005,661.187745,-0.076650809,-0.000208444,-4.48838E-07
0.006,660.030456,-0.093669765,-0.000302114,-7.50952E-07
0.007,658.874054,-0.110675676,-0.00041279,-1.16374E-06
0.008,657.710877,-0.127781221,-0.000540571,-1.70431E-06
0.009,656.536255,-0.145055074,-0.000685626,-2.38994E-06
0.01,655.348663,-0.162519662,-0.000848146,-3.23809E-06
0.011,654.149597,-0.180152985,-0.001028299,-4.26638E-06
0.012,652.941803,-0.197914662,-0.001226214,-5.4926E-06
0.013,651.728333,-0.215759809,-0.001441973,-6.93457E-06
0.014,650.511749,-0.23365075,-0.001675624,-8.6102E-06
0.015,649.294006,-0.251558735,-0.001927183,-1.05374E-05
0.016,648.077149,-0.269453691,-0.002196637,-1.2734E-05
0.017,646.864044,-0.287293471,-0.00248393,-1.52179E-05
0.018,645.658173,-0.305026868,-0.002788957,-1.80069E-05
0.019,644.463532,-0.322595118,-0.003111552,-2.11185E-05
0.02,643.283722,-0.339945265,-0.003451497,-2.457E-05
0.021,642.120544,-0.357050824,-0.003808548,-2.83785E-05
0.022,640.973938,-0.373912676,-0.004182461,-3.2561E-05
0.023,639.842102,-0.390557324,-0.004573018,-3.7134E-05
0.024,638.722565,-0.407021103,-0.004980039,-4.2114E-05
0.025,637.613342,-0.423333206,-0.005403372,-4.75174E-05
0.026,636.513672,-0.439504824,-0.005842877,-5.33603E-05
0.027,635.423675,-0.455534191,-0.006298411,-5.96587E-05
0.028,634.343293,-0.471422162,-0.006769834,-6.64285E-05
0.029,633.27121,-0.487188088,-0.007257022,-7.36855E-05
0.03,632.203674,-0.502887147,-0.007759909,-8.14454E-05
0.031,631.134277,-0.518613574,-0.008278522,-8.9724E-05
0.032,630.055053,-0.534484515,-0.008813007,-9.8537E-05
0.033,628.957581,-0.550623809,-0.009363631,-0.000107901
0.034,627.834625,-0.567137868,-0.009930769,-0.000117831
0.035,626.681427,-0.584096662,-0.010514865,-0.000128346
0.036,625.495789,-0.601532515,-0.011116398,-0.000139463
0.037,624.278229,-0.619437809,-0.011735836,-0.000151198
0.038,623.031342,-0.637774382,-0.01237361,-0.000163572
0.039,621.758515,-0.656492426,-0.013030102,-0.000176602
0.04,620.463348,-0.675539,-0.013705641,-0.000190308
0.041,619.148682,-0.694872324,-0.014400514,-0.000204708
0.042,617.815399,-0.714479426,-0.015114993,-0.000219823
0.043,616.461823,-0.734384956,-0.015849378,-0.000235673
0.044,615.082611,-0.754667485,-0.016604046,-0.000252277
0.045,613.668487,-0.775463426,-0.017379509,-0.000269656
0.046,612.206543,-0.796962603,-0.018176472,-0.000287833
0.047,610.681671,-0.819387191,-0.018995859,-0.000306829
0.048,609.078461,-0.842963809,-0.019838823,-0.000326667
0.049,607.383789,-0.867885456,-0.020706708,-0.000347374
0.05,605.589264,-0.894275529,-0.021600984,-0.000368975
0.051,603.692169,-0.922173985,-0.022523158,-0.000391498
0.052,601.695771,-0.951532779,-0.02347469,-0.000414973
0.053,599.608215,-0.982232132,-0.024456922,-0.00043943
0.054,597.440368,-1.014112235,-0.025471035,-0.000464901
0.055,595.203552,-1.047006588,-0.026518041,-0.000491419
0.056,592.907898,-1.080766206,-0.027598807,-0.000519018
0.057,590.560791,-1.115282485,-0.02871409,-0.000547732
0.058,588.167114,-1.150483618,-0.029864574,-0.000577596
0.059,585.729004,-1.186338176,-0.031050912,-0.000608647
0.06,583.246216,-1.222849765,-0.032273762,-0.000640921
0.061,580.7164,-1.260052941,-0.033533814,-0.000674455
0.062,578.134949,-1.298015456,-0.03483183,-0.000709287
0.063,575.495117,-1.336836515,-0.036168666,-0.000745455
0.064,572.788452,-1.376640412,-0.037545307,-0.000783001
0.065,570.005341,-1.417568515,-0.038962875,-0.000821964
0.066,567.136536,-1.459756824,-0.040422632,-0.000862386
0.067,564.174774,-1.503312147,-0.041925944,-0.000904312
0.068,561.116577,-1.548285632,-0.04347423,-0.000947786
0.069,557.962952,-1.594662471,-0.045068892,-0.000992855
0.07,554.719757,-1.642356515,-0.046711249,-0.001039567
0.071,551.396698,-1.691225029,-0.048402474,-0.001087969
0.072,548.004974,-1.741103324,-0.050143577,-0.001138113
0.073,544.555084,-1.791837,-0.051935414,-0.001190048
0.074,541.055267,-1.843304897,-0.053778719,-0.001243827
0.075,537.510025,-1.895440809,-0.05567416,-0.001299501
0.076,533.920883,-1.948222309,-0.057622382,-0.001357123
0.077,530.287384,-2.001656118,-0.059624038,-0.001416747
0.078,526.6082,-2.055761765,-0.0616798,-0.001478427
0.079,522.882523,-2.110551132,-0.063790351,-0.001542217
0.08,519.110702,-2.166019088,-0.06595637,-0.001608174
0.081,515.294022,-2.222146735,-0.068178517,-0.001676352
0.082,511.434723,-2.278901132,-0.070457418,-0.00174681
0.083,507.53569,-2.336239853,-0.072793658,-0.001819603
0.084,503.599976,-2.394118,-0.075187776,-0.001894791
0.085,499.63034,-2.452495,-0.077640271,-0.001972431
0.086,495.628266,-2.511349029,-0.08015162,-0.002052583
0.087,491.592895,-2.570692721,-0.082722313,-0.002135305
0.088,487.519654,-2.630593324,-0.085352906,-0.002220658
0.089,483.399933,-2.691177456,-0.088044084,-0.002308702
0.09,479.221497,-2.752625044,-0.090796709,-0.002399499
0.091,474.970291,-2.815142779,-0.093611851,-0.002493111
0.092,470.633835,-2.878914191,-0.096490766,-0.002589602
0.093,466.20404,-2.944058235,-0.099434824,-0.002689037
0.094,461.679748,-3.010591941,-0.102445416,-0.002791482
0.095,457.067413,-3.078420397,-0.105523836,-0.002897006
0.096,452.379883,-3.147354662,-0.108671191,-0.003005677
0.097,447.633926,-3.217148147,-0.111888339,-0.003117565
0.098,442.847092,-3.287542765,-0.115175882,-0.003232741
0.099,438.035401,-3.358302926,-0.118534185,-0.003351275
0.1,433.212188,-3.429232529,-0.121963417,-0.003473239
0.101,428.388123,-3.500174662,-0.125463592,-0.003598702
0.102,423.572616,-3.570990941,-0.129034583,-0.003727737
0.103,418.774735,-3.641548015,-0.132676131,-0.003860413
0.104,414.003998,-3.711705912,-0.136387837,-0.003996801
0.105,409.270722,-3.781312912,-0.14016915,-0.00413697
0.106,404.584656,-3.850225647,-0.144019375,-0.004280989
0.107,399.95372,-3.918327647,-0.147937703,-0.004428927
0.108,395.382446,-3.985552265,-0.151923255,-0.00458085
0.109,390.870575,-4.051903309,-0.155975159,-0.004736826
0.11,386.412582,-4.117462029,-0.160092621,-0.004896918
